"","country_name","country_text_id","country_id","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy","v2xcl_prpty","v2clprptyw","v2clprptym","v2exl_legitideol","v2exl_legitlead","v2clacjstm","v2clacjstw"
"20227","Bosnia and Herzegovina","BIH",150,0.355,0.375,0.37,0.312,0.527,0.89,1.769,2.298,1.841,-0.987,0.498,0.551
"20372","Bulgaria","BGR",152,0.483,0.472,0.513,0.454,0.614,0.907,2.311,2.042,-1.803,-0.693,1.067,1.008
"20463","Comoros","COM",153,0.252,0.274,0.174,0.26,0.385,0.672,0.701,1.173,1.12,1.133,1.151,-0.348
"20499","Croatia","HRV",154,0.554,0.595,0.62,0.522,0.736,0.946,2.794,2.34,0.07,-1.017,1.504,1.738
"20733","Cuba","CUB",155,0.103,0.227,0.062,0.079,0.177,0.268,-0.283,-0.789,3.459,0.769,-1.629,-1.52
"20856","Cyprus","CYP",156,0.723,0.737,0.727,0.563,0.835,0.807,1.749,1.302,0.22,-1.777,2.981,2.617
"20961","Czechia","CZE",157,0.673,0.731,0.725,0.547,0.823,0.94,2.726,2.277,-2.56,-0.647,2.627,2.449
"21195","Denmark","DNK",158,0.878,0.882,0.892,0.708,0.919,0.935,2.529,2.334,-2.204,-2.887,3.849,3.932
"21318","Equatorial Guinea","GNQ",160,0.062,0.112,0.055,0.05,0.176,0.42,-0.039,0.124,0.797,1.827,-0.578,-0.369
"21373","Estonia","EST",161,0.833,0.811,0.86,0.64,0.904,0.923,2.508,2.134,-2.104,-3.321,2.266,2.222
"21496","Fiji","FJI",162,0.303,0.314,0.289,0.201,0.412,0.6,0.629,0.73,0.619,0.497,1.278,0.899
"21710","Finland","FIN",163,0.804,0.807,0.837,0.619,0.876,0.938,2.498,2.443,-1.692,-2.118,3.417,2.827
"21911","Greece","GRC",164,0.739,0.74,0.755,0.608,0.849,0.768,1.547,1.143,0.652,-1.248,2.795,2.859
"22034","Guyana","GUY",166,0.478,0.503,0.463,0.409,0.675,0.861,1.963,1.67,-1.094,-0.355,0.782,1.366
"22157","Hong Kong","HKG",167,0.257,0.283,0.265,0.118,0.316,0.877,2.063,1.83,1.249,-0.643,2.638,2.801
"22280","Iceland","ISL",168,0.777,0.814,0.8,0.657,0.882,0.966,3.165,2.606,-2.445,-1.526,3.104,2.535
"22355","Israel","ISR",169,0.557,0.57,0.626,0.448,0.703,0.874,2.015,1.86,0.849,-2.417,2.05,2.24
"22589","Kuwait","KWT",171,0.303,0.258,0.299,0.096,0.327,0.693,1.339,0.698,0.271,1.299,1.206,1.057
"22644","Lithuania","LTU",173,0.62,0.699,0.755,0.614,0.819,0.941,2.885,2.081,-1.759,-1.674,2.854,2.352
"22852","Luxembourg","LUX",174,0.835,0.827,0.8,0.637,0.879,0.933,2.63,2.223,-3.052,-2.925,3.238,3.259
"22884","North Macedonia","MKD",176,0.452,0.4,0.393,0.394,0.579,0.818,1.4,1.805,-0.425,-1.082,0.877,0.875
"23007","Malaysia","MYS",177,0.343,0.325,0.312,0.266,0.439,0.721,1.203,1.033,1.411,1.889,1.224,0.972
"23130","Malta","MLT",178,0.619,0.66,0.567,0.562,0.764,0.87,2.156,1.651,-1.287,1.24,1.845,1.939
"23253","Mauritius","MUS",180,0.673,0.633,0.656,0.497,0.767,0.823,1.75,1.477,0.986,0.769,1.734,1.837
"23408","Montenegro","MNE",183,0.356,0.373,0.364,0.303,0.462,0.908,2.035,2.314,1.296,0.514,1.367,1.313
"23590","New Zealand","NZL",185,0.774,0.802,0.843,0.7,0.896,0.94,2.732,2.213,-0.157,0.773,1.895,2.493
"23824","Norway","NOR",186,0.857,0.849,0.85,0.637,0.886,0.96,2.992,2.59,-0.946,-2.401,2.735,2.842
"24058","Oman","OMN",187,0.067,0.188,0.138,0.126,0.176,0.626,0.68,0.888,0.646,2.278,0.812,0.914
"24270","Paraguay","PRY",189,0.348,0.239,0.416,0.364,0.585,0.764,1.376,1.259,-0.648,-1.511,0.643,0.603
"24504","Romania","ROU",190,0.329,0.509,0.487,0.475,0.691,0.911,2.18,2.232,-1.803,-2.608,1.494,1.242
"24627","Sao Tome and Principe","STP",196,0.539,0.48,0.56,0.421,0.677,0.828,1.822,1.428,-1.111,-0.066,1.257,1.136
"24858","Saudi Arabia","SAU",197,0.051,0.116,0.044,0.023,0.016,0.545,-0.056,1.033,1.293,2.052,-0.438,-0.67
"25076","Serbia","SRB",198,0.246,0.308,0.292,0.24,0.363,0.899,2.279,1.937,0.685,1.807,1.209,1.163
"25196","Seychelles","SYC",199,0.507,0.494,0.525,0.248,0.607,0.749,1.657,0.875,-0.579,0.234,1.894,1.739
"25352","Singapore","SGP",200,0.344,0.347,0.33,0.115,0.408,0.714,0.965,1.238,0.376,0.663,1.852,2.04
"25388","Slovakia","SVK",201,0.634,0.651,0.708,0.603,0.815,0.934,2.652,2.189,-1.357,-1.524,1.983,1.937
"25422","Slovenia","SVN",202,0.751,0.739,0.766,0.627,0.835,0.948,2.852,2.374,-1.871,-1.996,2.802,3.061
"25545","Solomon Islands","SLB",203,0.358,0.334,0.463,0.34,0.595,0.784,1.309,1.531,-2.211,-1.891,0.946,0.71
"25668","Vanuatu","VUT",206,0.652,0.62,0.672,0.477,0.772,0.727,0.938,1.38,-0.553,-0.903,1.409,1.164
"25720","United Arab Emirates","ARE",207,0.074,0.141,0.093,0.032,0.093,0.403,0.121,-0.184,1.462,1.624,0.138,0.289
"25985","Hungary","HUN",210,0.269,0.35,0.381,0.334,0.483,0.926,2.517,2.179,1.104,-0.271,1.572,1.732
"26152","Zanzibar","ZZB",236,0.216,0.239,0.223,0.177,0.268,0.788,1.319,1.558,1.444,0.348,-0.018,0.224
