"","country_name","country_text_id","country_id","v2xcs_ccsi","v2x_gencs","v2x_delibdem","v2x_egaldem","v2x_libdem","v2x_partipdem","v2x_polyarchy"
"19996","Barbados","BRB",147,0.876,0.897,0.661,0.619,0.657,0.334,0.773
"20196","Belgium","BEL",148,0.911,0.877,0.799,0.829,0.83,0.639,0.894
"20227","Bosnia and Herzegovina","BIH",150,0.904,0.84,0.355,0.375,0.37,0.312,0.527
"20372","Bulgaria","BGR",152,0.803,0.923,0.483,0.472,0.513,0.454,0.614
"20463","Comoros","COM",153,0.719,0.344,0.252,0.274,0.174,0.26,0.385
"20499","Croatia","HRV",154,0.785,0.875,0.554,0.595,0.62,0.522,0.736
"20733","Cuba","CUB",155,0.072,0.68,0.103,0.227,0.062,0.079,0.177
"20856","Cyprus","CYP",156,0.922,0.771,0.723,0.737,0.727,0.563,0.835
"20961","Czechia","CZE",157,0.918,0.929,0.673,0.731,0.725,0.547,0.823
"21195","Denmark","DNK",158,0.97,0.923,0.878,0.882,0.892,0.708,0.919
"21318","Equatorial Guinea","GNQ",160,0.159,0.27,0.062,0.112,0.055,0.05,0.176
"21373","Estonia","EST",161,0.958,0.917,0.833,0.811,0.86,0.64,0.904
"21496","Fiji","FJI",162,0.74,0.648,0.303,0.314,0.289,0.201,0.412
"21710","Finland","FIN",163,0.908,0.914,0.804,0.807,0.837,0.619,0.876
"21911","Greece","GRC",164,0.948,0.899,0.739,0.74,0.755,0.608,0.849
"22034","Guyana","GUY",166,0.936,0.871,0.478,0.503,0.463,0.409,0.675
"22157","Hong Kong","HKG",167,0.54,0.826,0.257,0.283,0.265,0.118,0.316
"22280","Iceland","ISL",168,0.953,0.839,0.777,0.814,0.8,0.657,0.882
"22355","Israel","ISR",169,0.688,0.847,0.557,0.57,0.626,0.448,0.703
"22589","Kuwait","KWT",171,0.473,0.391,0.303,0.258,0.299,0.096,0.327
"22644","Lithuania","LTU",173,0.853,0.88,0.62,0.699,0.755,0.614,0.819
"22852","Luxembourg","LUX",174,0.968,0.723,0.835,0.827,0.8,0.637,0.879
"22884","North Macedonia","MKD",176,0.804,0.829,0.452,0.4,0.393,0.394,0.579
"23007","Malaysia","MYS",177,0.721,0.745,0.343,0.325,0.312,0.266,0.439
"23130","Malta","MLT",178,0.929,0.769,0.619,0.66,0.567,0.562,0.764
"23253","Mauritius","MUS",180,0.87,0.843,0.673,0.633,0.656,0.497,0.767
"23408","Montenegro","MNE",183,0.806,0.852,0.356,0.373,0.364,0.303,0.462
"23590","New Zealand","NZL",185,0.94,0.919,0.774,0.802,0.843,0.7,0.896
"23824","Norway","NOR",186,0.965,0.911,0.857,0.849,0.85,0.637,0.886
"24058","Oman","OMN",187,0.181,0.341,0.067,0.188,0.138,0.126,0.176
"24270","Paraguay","PRY",189,0.794,0.659,0.348,0.239,0.416,0.364,0.585
"24504","Romania","ROU",190,0.73,0.865,0.329,0.509,0.487,0.475,0.691
"24627","Sao Tome and Principe","STP",196,0.774,0.79,0.539,0.48,0.56,0.421,0.677
"24858","Saudi Arabia","SAU",197,0.118,0.196,0.051,0.116,0.044,0.023,0.016
"25076","Serbia","SRB",198,0.661,0.767,0.246,0.308,0.292,0.24,0.363
"25196","Seychelles","SYC",199,0.807,0.792,0.507,0.494,0.525,0.248,0.607
"25352","Singapore","SGP",200,0.365,0.761,0.344,0.347,0.33,0.115,0.408
"25388","Slovakia","SVK",201,0.763,0.839,0.634,0.651,0.708,0.603,0.815
"25422","Slovenia","SVN",202,0.919,0.929,0.751,0.739,0.766,0.627,0.835
"25545","Solomon Islands","SLB",203,0.921,0.522,0.358,0.334,0.463,0.34,0.595
"25668","Vanuatu","VUT",206,0.961,0.684,0.652,0.62,0.672,0.477,0.772
"25720","United Arab Emirates","ARE",207,0.159,0.354,0.074,0.141,0.093,0.032,0.093
"25985","Hungary","HUN",210,0.563,0.851,0.269,0.35,0.381,0.334,0.483
"26152","Zanzibar","ZZB",236,0.51,0.445,0.216,0.239,0.223,0.177,0.268
